,household_number,source,provenance,declarant_name,declarant_name_parsed,declarant_id,name_of_family_members,name_of_non_family_members,slaves,declarant_occupation,verif_photo,discussion
87,145-Ar-l,P.Mil.Vogi III 193a = SB VI 9495.1a,"Tebtunis, 3/7/147","Kroniaina d. Herakles (s. —os) and Thea ..., with br. Herakles as kyrios",['Kroniaina'],['145-Ar-l-d1'],"['(1) Kroniaina [declarant] d. Herakles (s. —os) and Thea...,38', '(2) Hero apator, d. Kroniaina [declarant], 13']",[],[],,"Milan, Univ. degli Studi, Istituto di Papirologia, inv. 472; seen","Complete but scattered damage. We take Kpopimvyiq (line 11) to be a faulty genitive for nominative, not equivalent to Kpovicuviq (ed.)."
88,145 Ar 2,P.Mil.Vogl. Ill 193b = SB VI 9495.1b,"Tebtunis, 18/7/147","Tephorsais d. Pasion, with paternal uncle Tourbon s. Herakles as kyrios",['Tephorsais'],['145 Ar 2-d1'],"['(1) Tephorsais [declarant] d. Pasion, 29', '(2) Herakles s. Onnophris (s. Harmiusis) [divorced husband of declarant] and Tephorsais [declarant], Harmiusis, age lost (1 or 2 digits possible)']",[],[],,"Milan, Univ. degli Studi, Istituto di Papirologia, inv. 472; seen","Complete, with serious damage to line 4 and scattered holes else- where."
89,145 Ar 3,P.Mil.Vogl. Ill 194a = SB VI 9495.2a (cf. BASP21 [1990] 7-8),"Tebtunis, 146/7","Herais d. Protas (s. Orseus), with son Kronion as kyrios",['Herais'],['145 Ar 3-d1'],"['(1) Herais [declarant] d. Protas (s. Orseus), 40', '(2) Kronion s. Herakles [divorced husband of declarant] (s. Kronion s. Amaeis) and Herais [declarant], 21', '(3) Protas, s. Herakles [divorced husband of declarant] (s. Kronion s. Amaeis) and Herais [declarant], 19', '(4) Achillis, d. Herakles [divorced husband of declarant] (s. Kronion s. Amaeis) and Herais [declarant], 15', '(5) Serapias d. Thermion, apator, wife of Kronion [no.2], 18', '(6) Apias alias Didyme d. Lysimachos gd. Eutychos, mother of Herais [declarant], 70']",[],"['(1) Lampra, 5']",,"Milan, Univ. degli Studi, Istituto di Papirologia, inv. 700; seen",Complete. Name of mother of no.5 is very doubtful.
90,145-Ar-4,"P.Mil.Vogl. Ill 194b = SB VI 9495.2b (cf. H.C. Youtie, ""P.Mil.Vogl.","Tebtunis, 146/7","Herakleia d. Herakles and Tapetesouchos, with Herakles s. Phomnasis as kyrios",['Herakleia'],['145-Ar-4-d1'],"['(1) Herakleia [declarant] d. Herakles and Tapetesouchos, age lost']",[],[],,"Milan, Univ. degli Studi, Istituto di Papirologia, inv. 700; seen","Complete at top and right, some loss at left and slight damage at foot. Herakleia reports that Herakles (and another son? One would suppose that TEKVOL referred to sons in light of the following oa 5e dvyarepmq)  are registered (separately?), probably with her divorced husband (who is men- tioned), while daughters Herakleia and Tapetesouchos are each registered with their own husbands. Youtie rejects ed.'s restorations making kyrios be the divorced husband, who is Herakles s. NN alias Areotes. Herakleia's age is presumably 40+ since she has 4 living children, 2 married."
91,145 Ar 5,BGU1131 (cf. BASP 29 [1992] 106-07),"Arsinoe, 146/7",Eudarion alias Eudaimon s. NN (s. Eudaimon) and Thermoutharion,['Eudarion alias Eudaimon'],['145 Ar 5-d1'],"['(1) Eudarion alias Eudaimon [declarant] s. NN (s. Eudaimon) and Thermoutharion, idiotes, 30']","['(1) NN s./d. NN and NN (d. Euremon) ?, age lost', '(2) NN s./d. NN and the same, idiotes, age lost', '(3) Aphrodous alias NN, age lost', '(4) Charidemos, idiotes, age lost']","['(1) Epagathos slave of Eudarion [declarant], age lost']",,"Berlin, P.1333; seen 12/4/1991.","Substantial losses at right; broken at bottom. Part of the list of persons lost. The listing second of the slave suggests that there were no more family males declared, but it is impossible to say with certainty if the surviving names are those of family females or of renting males or females; the latter seems more likely given the order, and the explicit mention of enoikoi in the initial formula."
92,145-Ar 6,"BGU I 182.1-15 (cf. BL 1.24, 7.10; BASP 29 [1992] 107-08)","Arsinoe, 19/7/147",NN d. Ptolemaios with kyrios NN s. Heron,['NN'],['145-Ar 6-d1'],"['(1) NN, 5', '(2) Apion, 2', '(3) Onesas, age lost', '(4) NN, d. NN (s. Onesas), wife of NN, age lost', '(5) Phelon, s. NN and NN [no.4], 5']",[],[],,"Berlin, P.7145; seen 12/4/1991.","Broken at left and right; some damage in the middle. Followed by 131-Ar-2. The description section is very fragmentary and probably included at least two more people. These are renters of the declarant, whose principal residence was declared in another statement."
93,145-Ar-7,BGU VII 15810,"Arsinoe, 22/7/147",Didymos slave of Longinia Nemesilla and Longinia Petronilla,['Didymos'],['145-Ar-7-d1'],[],[],[],,"Berlin,, P.11499; seen 12/4/1991.","Broken at top, with loss of address. Didymos declares a half share of a third of a house belonging to his mistresses, who are absent, and in which no one is registered."
94,145-Ar-8,"P. Corn. 16.59-80 (cf. BL 2.2.49, 3.46, 4.24; BASP 28 [1991] 19-27)","Arsinoe, 147","Isidora d. Heron tritos (s. Heron) and Isidora (d. Asklepiades), with kyrios her husband Asklepiades s. Asklepiades",['Isidora'],['145-Ar-8-d1'],"['(1) Zoidous [? d. Sokrates and Aphrodous, see 131-Ar-3], age lost [20?]', '(2) NN, 5']",[],[],,"Michigan, P.Corn. inv. II, 16; seen 9/11/1990.","Declarant registers renters of house she owns but does not live in. They are listed in column iv, with only the start of lines preserved. Those listed here are only a part of those originally listed. The rest is too frag- mentary to allow reconstruction."
95,145-Ar-9,P.Meyer 9 (cf. BL 4.50),"Arsinoe, 8/7/147",Name lost,['Name lost'],['145-Ar-9-d1'],"['(1) Chares s. Atarios (s. Dionysios) and Charition (d. Aphrodisios, katoikos), virepeTrjq, [6?]3', ""(2) Herois d. Atarios (s. Dionysios) and Tertia (d. Didymos, katoikos), sister of Chares [declarant] on father's side and his wife, 41"", '(3) Atarias s. Chares [declarant] and Herois [no.2], 21', '(4) Athenarion d. Chares [declarant] and Herois [no.2], sister and wife of Atarias [no.3], 13', '(5) Charition alias Theodote d. Chares [declarant], 11', '(6) Didyme d. Chares [declarant], age lost', '(7) NN s. Dioskoros and Rhodous (d. Dioskoros), idiotes, 40']",[],"['(1) NN, female slave of Aphrodisios, age lost', '(2) Pasion, called Eutyches, male offspring of NN [no.l], 20', '(3) Harpalos, called Nikephoros, male offspring of NN [no.l], 18', '(4) Herois, female offspring of NN [no.l], 8', '(5) NN, slave, age lost', '(6) Isidora alias Hediste, slave, 23', '(7) Aphrodous alias Parinous, female offspring of Isidora [no.6], 6', '(8) NN, slave, age lost']",,"Berlin, formerly Neutestamentliches Seminar. The papyri of this col-","Broken at left with substantial loss; complete elsewhere. This is a declaration of renters of a house belonging to the declarant. The free person NN [no.7] may be the Aphrodisios who is the owner of some or all of the slaves. Meyer restored the age of the first family member as [7]3, arguing that vvepeTrjs had to mean ""over the age for liturgies,"" which he claimed was 70, rather than ""over the age of liability for taxes"" (on the grounds that as a katoikos he was not liable anyway). This is not correct. In 131-Ar-12 (see Adddenda) there is a virepeTrjq aged 61, which makes it clear that the reference is to the age of liability for taxes. Since a husband-wife age dif- ference of 32 years here would be the highest known, though not by much, we take a restoration of [6]3 to be somewhat more likely than [7]3, but nei- ther is excluded."
96,145-Ar-10,P.Ryl. II llla#,"Arsinoe, 146/7",Didis d. Ptolemaios with kyrios her husband Sotas s. Herakleides,['Didis'],['145-Ar-10-d1'],"['(1) Pasion s. Aphrodisios (s. Heron) and Didarous (d. Dionysios), idiotes, 21', '(2) Philadelphos s. Aphrodisios (s. Heron) and Didarous (d. Dionysios), brother of no.l, 19']",[],[],,"Manchester, John Rylands Library; photograph.",Complete. A copy written around 161 of a declaration of renters occupying a house belonging to the declarant.
97,145 Ar 11,P. Tebt. II 321,"Arsinoe, 147","Heras d. Lysimachos (s. Herodion) and Tamystha, with kyrios kinsman Herakleides s. Patron",['Heras'],['145 Ar 11-d1'],[],[],[],,"Berkeley, P.Tebt. 321; seen 27/9/1990.","Broken at bottom, taking list of persons declared. This is a copy of a declaration for a 2/3 share of a house inhabited by renters of the declarant, not by herself."
98,145-Ar-12,BGUI 95 (cf. BL 1.19)#,"Karanis (Arsinoite), 24/7/147",Petheus s. Petheus (s. Pnepheros) and Tamystha,['Petheus'],['145-Ar-12-d1'],"['(1) Petheus [declarant] s. Petheus (s. Pnepheros) and Tamystha, 76', '(2) Aphrodous d. Apis (s. Papontos), wife of Petheus [declarant], 70', '(3) Diodora d. Petheus [declarant] and Aphrodous [no.2], 33']",[],"['(1) Tasoucharion, slave of Diodora [no.3], 32']",,"Berlin, P.6868; seen 16/4/1991.",Complete except for minor losses. The three female children of Diodora [no.3] are said to be declared by their father (NN s. Petheus) in another declaration. Presumably Diodora is divorced from him.
99,145-AM3,"SB VI 9554,1","Karanis (Arsinoite), 146/7","NN s. Sambathion, as phrontistes for NN Gemellus",['NN'],['145-AM3-d1'],[],[],[],,"Michigan, inv. 2940; now in Cairo; seen 1/4/1993.","Broken at the left and bottom, with loss of any persons declared."
100,145 Ar 14,"SB VI 9554,2b","Karanis (Arsinoite), 19/7/147",Didyme alias Niliaina,['Didyme'],['145 Ar 14-d1'],[],[],[],,"Michigan, inv. 4731a, recto col. i; seen 9/11/1990.",Broken at top with actual declaration formula lost. Declares a house in which no one is registered.
101,145-Ar-15,"SB VI 9554,2c","Karanis (Arsinoite), 7 or 10/7/147","My... alias Sarapion, Ptolemaios, and Sarapammon alias Andronikos, all three sons of Ptolemaios alias NN (Paniskos?), katoikoi","['My... alias Sarapion', 'Ptolemaios', 'Sarapammon alias Andronikos']","['145-Ar-15-d1', '145-Ar-15-d2', '145-Ar-15-d3']",[],[],[],,"Michigan, inv. 4731a, recto col. ii; seen 9/11/1990.",Some loss at right. Declarants are registered in the metropolis; here they declare a vacant lot in Karanis.
102,145 Ar 16,"SB VI 9554,4","Karanis (Arsinoite), 24/7/147",Longinus Maximus through phrontistes Ptolemaios (?) s. Petheus,['Longinus'],['145 Ar 16-d1'],[],[],[],,"Michigan, inv. 5961; seen 9/11/1990.","Broken at top. Declaration of quarter-share of house in Karanis by owner without any mention of persons (nor declaration that there were none). Line 8, the papyrus reads Kunrjc; Kapipi8(i)  (sic)."
103,145-AM7,"SB VI 9554,3","Mendes (Arsinoite), 23/7/147",Sisois s. Orsenouphis (s. Sisois) andTauris (d. Nemesas),['Sisois'],['145-AM7-d1'],"['(1) Sisois [declarant] s. Orsenouphis (s. Sisois) and Tauris (d. Nemesas), 45', '(2) Tepheros d. Mysthes (s. Papontos) and Tenaus, wife of Sisois [declarant], 36', '(3) Sisois s. Sisois [declarant] and Tepheros [no.2], age lost', '(4) Dioskoros s. Sisois [declarant] and Tepheros [no.2], twin of no.5, 14', '(5) Dioskoros s. Sisois [declarant] and Tepheros [no.2], twin of no.4, 14']",[],[],,"Michigan, inv. 4715a; seen 9/11/1990.","Complete. One wonders if the parents actually called the twins Kastor and Polydeukes! Line 3, for Nefieoeuq (ed.), read Ne/ieaorog."
104,145-AM8,P.Berl.Leihg. Ill 52A (ined.),"Philagris (Arsinoite), 6-7/147",Sarapas s. Hatres (s. Papous) and Taes (d. Sarapas),['Sarapas'],['145-AM8-d1'],"['(1) Sarapas [declarant] s. Hatres (s. Papous) and Taes (d. Sarapas), 48', '(2) Sabinos s. Hatres (s. Papous) and Philous, half- brother of Sarapas [declarant], 58', '(3) Alkes s. Sabinos [no.2] and Herois (d. Apollonios), 16']",[],[],,"Berlin, P. 11535; seen 17/4/1991.","Complete, minor abrasion. There is no indication of what has hap- pened to the mother of no.3. No.2 is described as released from laographia, apparently on grounds of disability (he is described as"
105,145-AM9,P.Berl.Leihg. Ill 52B (ined.),"Philagris (Arsinoite), 26/6/147","Harphesis apator s. Thermouthis (d. Harphesis), farmer",['Harphesis apator'],['145-AM9-d1'],"['(1) Harphesis [declarant] apator s. Thermouthis (d. Harphesis), farmer, 30', '(2) Hatres apator s. Thermouthis (d. Harphesis), brother of Harphesis [declarant], 22', '(3) Orseus apator s. Thermouthis (d. Harphesis), brother of Harphesis [declarant], 20', '(4) Hermes apator s. Thermouthis (d. Harphesis), brother of Harphesis [declarant], 16', '(5) NN, wife of Harphesis [declarant], 20', '(6) Heras, apator d. Thermouthis (d. Harphesis), sister and wife of Hatres [no.2], 14', '(7) Ponneis apator, d. NN, 16']",[],[],farmer,"Berlin, P.I 1535; seen 17/4/1991.",Complete but with considerable surface damage. The relationship of no.7 to the rest of the family is unclear.
106,145-Ar-20,"PAmh. II 74 (cf. Pap.Lugd.Bat. V, pp. 118 n.8, 161 [BL 3.5]; BL 8.4;","Soknopaiou Nesos (Arsinoite), 24/7/147","Panephremmis s. Anchophis the elder (s. Panephremmis) and Stotoetis (d. Horos), priest",['Panephremmis'],['145-Ar-20-d1'],"['(1) Panephremmis [declarant] s. Anchophis the elder (s. Panephremmis) and Stotoetis (d. Horos), priest, 32', '(2) Panephremmis s. Anchophis the younger (s. Panephremmis) and Thases (d. Stotoetis), cousin of Panephremmis [declarant], 8', '(3) Stotoetis s. Anchophis the younger (s. Panephremmis) and Thases (d. Stotoetis), cousin of Panephremmis [declarant], 1', '(4) Thases d. Anchophis the elder (s. Panephremmis) and Stotoetis (d. Horos), sister and wife of Panephremmis [declarant], 2[.]', '(5) Stotoetis d. Panephremmis (s. Paous), mother of Panephremmis [declarant?], 55']","['(1) Segathis d. Stotoetis the elder (s. Stotoetis) and Thases (d. Satabous), renter, [.]8']",[],priest,"New York, Pierpont Morgan Library; seen 8/1/1991.","Complete except for minor holes. A copy. Of what Panephremmis is Stotoetis [no.5] the mother? The declarant's mother's father was Horos, not Panephremmis; no.2's mother was Thases. The latter is the more serious dis- crepancy. The editors read her age as 51 and no.l's as 40, rightly queried by Hombert and Preaux; that obstacle to her being the mother of no.l is now removed. The age-difference, moreover, taken with the difference in names, does seem to exclude her being the mother of 2 and 3. The most probable solution is that her patronymic is given incorrectly in either the initial declaration or her entry."
107,145-Ar-21,P. Wise. I 18 (cf. BL 6.71)0,"Theadelphia (Arsinoite), 146/7","Apollo(nios?) and Heron the elder and Heron the younger, sons of Apol(lonios?) alias Sokrates","['Apollo(nios?)', 'Heron the elder', 'Heron the younger']","['145-Ar-21-d1', '145-Ar-21-d2', '145-Ar-21-d3']",[],[],[],,"Madison, P.Wisc. inv. 46; photograph.","Complete but with scattered damage. Declaration of property belong- ing to the three brothers, in which no one lives."
108,145-Ar-22,P.Fay. 319.13-19 (Aegyptus 70 [1990] 27-31; cf. BASP 30 [1993] 38-,"Arsinoite, 147? (documentpas/ 161)","Thermoutharion d. NN, with kyrios of her son M[",['Thermoutharion'],['145-Ar-22-d1'],"['(1) Thermoutharion [declarant], daughter of katoikos, 51?', '(2) NN s. NN and Thermoutharion [declarant], age lost', '(3) NN s. (?) NN and Thermoutharion [declarant], 26', '(4) NN alias NN [m.], age lost (over 14)']",[],[],,"Cairo, JE 10850; plate in Aegyptus (Tav. 1); seen 3/4/93","Broken at right, with large loss, and torn at the bottom. This is an excerpt from the original declaration, quoted in an epikrisis document of unknown date. See 159-Ar-26 for the preceding declaration in the same document. No. 4 may be another child of the declarant or perhaps some other descendant, such as a child of no.2. Other persons were probably listed in the lost portions of the text."
109,145-Ar-23,CPR VI p. 3 = P.Vindob.Tand. 20 + P.Vindob.Sijp. 250,"Arsinoe, 7/7/147",Polydeukes s. Sotas (s. Maron) and Heraklous (d. Dioskoros),['Polydeukes'],['145-Ar-23-d1'],"['(1) Ptolemaios s. Mystes (s. Pr—) and Theonis (the sister of his father), 4[.]', '(2) Thaisas alias Thasion d. Dionysios (s. Didymos) and Thasion (the sister of her father), 28', '(3) Satyros s. Ptolemaios [no.l] and Thaisas [no.2], 6', '(4) Thaisarion d. Ptolemaios [no.l] and Thaisas [no.2], 3', '(5) Thasion d. Ptolemaios [no.l] and Thaisas [no.2], 1']",[],[],,P.Vindob. G 25.853 + G 73 + G 39.955; PI. of G 39.955,Complete except for minor holes in the middle.
110,145 Ar 24,P.Wisc. I 36 (cf. BL 7.100)0,"Theadelphia (Arsinoite), 9/7/147","Sambathion d. Diodoros alias Dioskoros (s. Petesouchos) and Isidora, with kyrios her brother Ptolemaios",['Sambathion'],['145 Ar 24-d1'],"['(1) Ptolemaios s. Diodoros alias Dioskoros (s. Petesouchos) and Isidora, brother of Sambathion [declarant], 35', '(2) Dioskoros alias Heron s. Ptolemaios [no.l] and Anoubiaina alias Achilis, aste, 3 or 13']",[],[],,"Wisconsin, inv. 25; plate; photograph.","Dioskoros is Ptolemaios' son by Anoubiaina, who is described as his wife living with him; but she herself is not declared. Perhaps her legal residence is in the city of which she had citizen status. Sambathion presumably lives in other property in Theadelphia, which she lists as her idia, but she says that she has also registered in Apias, where we know that Ptolemaios had business interests. Dioskoros alias Heron ceased to live with his father in 155/6, cf. H.C. Youtie, ZPE 23 (1976) 131-38 = Scriptiunculae Posteriores I 375-82, but we do not know what age he was then; either 13 or 23 is possible, and thus either 3 or 13 here, where only the gamma survives."
111,145-Ar 25,BGUl 122 (cf. BASP29 [1992] 105),"Arsinoe, 147","Thermoutharion d. M[, with kyrios kinsman Sotas s. Dios",['Thermoutharion'],['145-Ar 25-d1'],[],[],[],,"Berlin, P.1334; seen 12/4/1991.","Broken at right and below, with loss of entire list of persons declared."
112,145-He-l,"P.Bad. IV 75b = SelPap II 312 (cf. BL 2.2.183, 3.256, 6.8, 8.15; BASP","Ankyronpolis (Herakleopolite), 10/3/147",Petesouchos s. Pisoitis and Thenammeneus,['Petesouchos'],['145-He-l-d1'],"['(1) Petesouchos [declarant] s. Pisoitis and Thenammeneus, 42', '(2) Tausiris d. Pareitis, wife of Petesouchos [declarant], 34', '(3) Pnephoros s. Petesouchos [declarant] and Tausiris [no.2], 17', '(4) Psenamounis s. Petesouchos [declarant] and Tausiris [no.2], 5', '(5) Pnephoros aXXog (""another"") s. Petesouchos [declarant] and Tausiris [no.2], deceased in the current year, 9']",[],[],,"Heidelberg, P.Heid.inv. G 604; plate in Seider, Paldographie I 35;",Complete. Cf. 131-He-2 (P.Bad. IV 75a) for this household 14 years earlier.
113,145-He 2,"P.Corn. 17 (cf. BL 2.2.49, 3.46, 8.90; BASP 28 [1991] 27-29)","Ankyronon (Herakleopolite), 10/3/147",Serempis s. Patermouthis (s. Siris) andThenp...,['Serempis'],['145-He 2-d1'],"['(1) Serempis [declarant] s. Patermouthis (s. Siris) and Thenp..., 50', '(2) Thenosiris d. Psenosiris, wife of Serempis [declarant], 54', '(3) Patermouthis s. Serempis [declarant] (and Thenosiris [no.2]?), 2[.]', '(4) Thenamounis d. Psenamounis, wife of Patermouthis [no.3], 16', '(5) Taas d. Serempis [declarant] and Tetemouthis, registered by her husband, age not given', '(6) Nouns s. Pnepheros (deceased brother of Serempis [declarant]) and Thennoupis, 30', '(7) Patermouthis s. Pnepheros (deceased brother of Serempis [declarant]) and Thennoupis, brother of Nouns [no.6], 26', '(8) Pnephoros s. Pnephoros and Thenosiris [no.2], 26', '(9) Tamounis d. Ameneus, wife of Pnephoros [no.8], 18', '(10) Taphorsois d. Ameneus, sister of Tamounis [no.9], registered by her husband, age not given', '(11) Taas d. Ameneus, sister of Tamounis [no.9], registered by her husband, age not given']",[],[],,"Michigan, P.Corn. inv. II, 11; seen 9/11/1990.",Two lines missing at the start; lower part damaged at left.
114,145-Hm-l,SB VIII 9871 (Cd'E 39 [1964] 118-19); cf. P.Petaus 14.10n.,"Hermopolis, 146",Name lost,['Name lost'],['145-Hm-l-d1'],[],[],[],,"P.Stras.inv. W.G. 366, seen 14/3/1989.","Broken at top, bottom (subscription lost), left, and right; declaration of property in village of Poei; all names of persons lost."
115,145-Ly-l,P.Brux. 20 = SB VI 9360,"Lykopolis, 28/8/146","Senesneus d. Sou— and Tapnoubchis, with as kyrios her father's brother Ploutogenes s. Apollonios",['Senesneus'],['145-Ly-l-d1'],"['(1) Senesneus [declarant] d. Sou— and Tapnoubchis, 40', '(2) Senpho— d. Pore[- -] and Senesneus [declarant], 21']","['(1) Isarous d. Sareus, 6[p<t>av]r)[v ?], 8']",[],,P.Brux.inv. E 7641; PI. V.,Complete except for minor damage.
116,145-Me-l,BGU III 777 (cf. BL 1.66),"Memphis, 145/6",Areios,['Areios'],['145-Me-l-d1'],"['(1) Areios [declarant], 14']",[],[],,"Berlin, P.7486; seen 16/4/1991.","Broken at top (with declarant's full identity) and bottom (with any other persons included; but there were probably none, to judge form line 1). Declarant is a renter in house of Isidoros s. Anoubion alias Pankrates. Cf. ZPE 75 (1988) 255-56: Is Areios the brother of Melas in 173-Me-l (9 years younger than Melas)?"
117,145-Oa-l,PSIX 1111,"Trimeithis (Great Oasis), 145/6","Petosiris s. Haryotes (s. Horos) and Sen[os?]iris,",['Petosiris'],['145-Oa-l-d1'],"['(1) Petosiris [declarant] s. Haryotes and Sen[os?]iris, gs. Horos, 65', '(2) Haryotes s. Petosiris and Tapsais, 32', '(3) Psais s. Petosiris and Tapsais, brother of Haryotes [no.2],48(or28?)', '(4) NN s./d. Petosiris, age lost']",[],[],,"Florence, Biblioteca Laurenziana; seen 25/5/1989.","Broken at bottom. No.4 probably not a child of declarant because patronymic given again; any women are lost. For provenance, cf. Calderini- Daris, Dizionario s.v. P. J. Sijpesteijn (per litt.) reads the age of no. 3 as KKJ, which would give a normal order."
118,145-Ox-l,"P.Lond. inv. 2187 (Cd'E, forthcoming)","Oxyrhynchos, 146/7",NN (name lost),['NN'],['145-Ox-l-d1'],"['(1) NN [declarant, male], age lost', '(2) Alexandra, freedwoman of Heronas, wife of NN [declarant], age lost', '(3) Dionysia d. NN [declarant] and Alexandra [no.2], 3']",[],[],,"London, inv. 2187; seen 3/4/1991.","Broken at top, with loss only of the first person listed, evidently the declarant, and possibly other males. Dionysia is said to be a twin, but the other child is not listed in the surviving part. It is likely that this was a male and included in the missing portion."
119,145-Ox-2,"P.Oxy. 1171 (P.Oxy. II, p. 208)","Oxyrhynchos, ca 146","Hierax s. Hakoris (s. M...) and Dionysia (d. Hierax), OCKO yviivaoiov",['Hierax'],['145-Ox-2-d1'],"['(1) Hierax [declarant] s. Hakoris (s. M...) and Dionysia (d. Hierax), curb yviivaoiov, 66', '(2) Hierax s. Hierax [declarant] and Alexandra, freedwoman, age lost', '(3) Theon, relationship unknown (son?), age lost']",[],[],,"Cambridge, Add.Ms. 4045; photograph.","Broken at right with small losses; broken off at bottom, with loss of unknown number of family members."
120,145-Ox-3,"P.Lond. inv. 2194 (Cd'E, forthcoming)","Talao (Oxyrhynchite), 20/2/147",Dikaiogenes s. Philon and Senherakleia (d. Dikaiogenes),['Dikaiogenes'],['145-Ox-3-d1'],"['(1) Dikaiogenes [declarant] s. Philon and Senherakleia (d. Dikaiogenes), eirl £eVr/g, 22']","['(1) Sarapion alias Eutyches, freedman, 19']",[],,"London, inv. 2194; seen 3/4/1991.","Virtually complete; no persons are lost. The property is said to belong to the declarant's parents, who are however not listed."
121,145-Pr-l,P.Lond. II 324.25-29 (p. 63),"Prosopite, original date omitted",Not stated,['Not stated'],['145-Pr-l-d1'],"['(1) Chentmouphis s. Anikos (s. Pathermouthis) and Thaseis (d. Herpaesis), 52 (should be 59, cf. 131-Pr-l)', '(2) Anikos s. Chentmouphis [declarant] and Demetrous (d. Soterichos), 20', '(3) Thamistis d. Chentmouphis [declarant] and Demetrous (d. Soterichos), sister of Anikos [no.2], 24']",[],[],,"London, BL inv. 324; microfilm; original seen 2/4/1991.","Copy of a copied extract of a declaration, preceded by another (131- Pr-1); complete but with scattered damage. The date of the cover letter is 24/3/161. As the editor's note points out, Thamistis is said in the two extracts to be the full sister of Anikos, thus daughter of Chentmouphis (Thenthnoupis in 131-Pr-1), but in the cover letter Anikos says she is his sister on the mother's side, and airdiTOjp. In Chentmouphis' age, it seems most likely that vf$ is a copyist's misreading of vO, since beta and theta can look much alike."
122,159 Ar 1,"BGUI 55 ii.1-10 (cf. BL 1.12, 3.8)0","Arsinoe, 24/6/161",[Mysthes s. Philon],['Mysthes'],['159 Ar 1-d1'],"['(1) Mysthes [declarant] s. Philon, age lost', '(2) Mysthes alias Ninnos, s. Mysthes [declarant] and Herais (d. Ammonios, katoikos), 33', '(3) Zosime freedwoman of Ammonarion d. Marion (s. Geoum( )), wife of Mysthes [no.2], 22', '(4) Ammonios, s. Mysthes [no.2] and Zosime [no.3], 5', '(5) Didymos, s. Mysthes [no.2] and Zosime [no.3], 4']",[],[],,"Berlin, P.6914, col. ii; seen 16/4/1991.","Column i very fragmentary; it is probably not part of the declaration in col. ii. Part of the information about nos. 1-2 derives from ii.11-22 (173-Ar- 3). These are extracts from declarations, not originals. The copyist seems not to have understood his original in places."
123,159 Ar-2,BGUI 57 i (cf. BL 1.13)0,"Arsinoe, 160/1","Thaisarion and Herois dd. Melanas (s. Tryphon), with kyrios kinsman Pammenes s. Sokrates","['Thaisarion', 'Herois']","['159 Ar-2-d1', '159 Ar-2-d2']",[],[],[],,"Berlin, P.6938 recto i; seen 12/4/1991.","Some damage at left and right, part of date lost at bottom. Declaration by metropolitan women of village property in Nilopolis of which they own part-shares and in which no one is registered. Heading is missing: This may be a copy or a declaration on which the recipient's name was never written."
124,159 Ar 3,BGU I 57 ii (cf. BL 1.13),"Arsinoe, 160/1 (?)",Sokrates s. Pammenes,['Sokrates'],['159 Ar 3-d1'],[],[],[],,"Berlin, P.6938 recto ii; seen 12/4/1991.","Only a small part of left side of declaration preserved. Sokrates is declaring property in Nilopolis belonging to a woman of whom he is phrontistes (line 6), with no mention of persons."
125,159-Ar-4,P.BerLLeihg. I 17#,"Arsinoe, 11/5/161",Herodes s. Philadelphos (s. Herodes) and Thermoutharion (sister of his father),['Herodes'],['159-Ar-4-d1'],"['(1) Herodes [declarant] s. Philadelphos (s. Herodes) and Thermoutharion, 31', '(2) Sarapion alias Hermias, s. Herodes [declarant] and Zoidous (d. Philadelphos) (full sister of declarant), his divorced wife, 8', '(3) Ischyrion s. Philadelphos (s. Herodes) and Thermoutharion, brother of Herodes [declarant], 45', '(4) Aphrodisios s. Philadelphos (s. Herodes) and Thermoutharion, brother of Herodes [declarant], 33', '(5) Thermoutharion d. Philadelphos (s. Herodes) and Thermoutharion, sister of Herodes [declarant], 47', '(6) Zoidous d. Philadelphos (s. Herodes) and Thermoutharion, sister and divorced wife of Herodes [declarant], 29', '(7) Demarion d. Diodoros (s. Polydeukes) and Sambous, wife of Ischyrion [no.3], 35', '(8) Helene d. Ischyrion [no.3] and Demarion [no.7], 17', '(9) Didyme d. Ischyrion [no.3] and Demarion [no.7], 15', '(10) Demarion d. Diodoros (s. Polydeukes) and Sambous, wife of Aphrodisios [no.4], 26', '(11) Helene d. Aphrodisios [no.4] and Demarion [no. 10], 9', '(12) Herodes s. Petermouthis (s. Heron) and Thermoutharion [no. 5] (d. Philadelphos), 19']",[],"['(1) Palaistrike, slave of Sarapion [no.2], bought from Apollonarion d. Chairemon (s. Heron), 33', '(2) Ammonios male offspring of Palaistrike [no.l], slave of Sarapion [no.2], bought from Apollonarion d. Chairemon (s. Heron), 5']",,Berlin inv. 11540 verso; seen 15/4/1991.,"Copy of a declaration. Complete. Herodes is declaring the inhabitants of a house belonging to two boys whose guardian he is, who do not live there. The presence of two homonymous sisters, wives of two brothers, with each couple having a daughter Helene, is noteworthy."
