,household_number_year,household_number_location,household_number_order,source,provenance,provenance_place,provenance_year,declarant_name_1,declarant_name_2,declarant_name_3,declarant_name_4,declarant_name_5,declarant_ids,declarant_occupation,number_of_family_members,number_of_non_family_members,number_of_slaves,verif_photo,discussion_text,discussion_indicates_substantive_record_brokenness
65,131,He,2,"P.Bad. IV 75a (cf. BL 2.2.183, BASP 27 [1990] 2-3)","Ankyronpolis (Herakleopolite), 133",Ankyronpolis (Herakleopolite), 133,Petesouchos,,,,,['131-He-2-d1'],,4,0,0,"Heidelberg, P.Heid.inv. G 668; photograph.","Broken at right and at bottom; no apparent loss of persons. P.Bad. IV 75b (145-He-l) gives the declarant's age in the following census, from which it is restored here. Thenphrokos' age survives as v[, thus anything from 50- 59.",Yes
66,131,He,3,"P.Bon. I 18, col. i (cf. BASP2S [1991] 122-23)","Machor (Herakleopolite), 3-4/133",Machor (Herakleopolite), 3-4/133,Piathres,,,,,['131-He 3-d1'],,2,0,0,"Bologna, inv. 7; photograph.","Broken at left, fragmentary, rubbed and crumpled in the lower part. Relationship of no.2 apparently not stated in remaining papyrus. The list of the household is complete.",Yes
67,131,He,4,"P.Bon. I 18, col. ii (cf. BL 7.30, &4SP28 [1991] 122-23)","Machor (Herakleopolite), 3-4/133",Machor (Herakleopolite), 3-4/133,Piathres,Psois,Thapetemounis,,,"['131-He-4-d1', '131-He-4-d2', '131-He-4-d3']",,7,0,0,"Bologna, inv. 7; photograph.","Broken down the middle and fragmentary in lower part. After listing no.7, the text appears to go on to registering other property. There are still problems in the readings of some of the names. The age of no.7 is not certain, but given the order of listing it is probable.",Yes
68,131,He,5,"P.Bon. 118, col. iii (cf. BASP2Z [1991] 122-23)","Machor (Herakleopolite), 133",Machor (Herakleopolite), 133,Herph,,,,,['131-He-5-d1'],,0,0,0,"Bologna, inv. 7; photograph.",Only the upper left corner preserved.,No
69,131,Me,l,P.Vindob.Sijp. 24 (cf. BL 5.63; 8.200),"Memphis, 132",Memphis, 132,Tetanoupis,,,,,['131-Me-l-d1'],,3,0,0,"Vienna, inv. G 25852; seen 22/4/1991.","Damaged after line 22 and broken at the bottom. Despite the damage it appears that no.3 is Tetanoupis' son by a father other than no.2, presumably a previous husband.",Yes
70,131,Ox,l,"PSII 53, col. i (cf. BL 8.391)","Oxyrhynchos, 4/12/132",Oxyrhynchos, 4/12/132,Heliodoros,,,,,['131-Ox-l-d1'],,14,0,0,"Florence, Biblioteca Laurenziana; seen 25/5/1989.","Broken at the top, with logs of listings for nos. 1-5 (nos. 1-2 reconstructed from other information in text); some damage at left. The ed. supposes that no. 10 is daughter of Ptollous by another husband, but that is not likely. The two children of Heliodoros and Ptollous whose ages survive are 15 and 20; Dionysios is 20 and has a different mother, and Heliodoros [no.2] is probably around 25 like his wife. [Tne]phersois was probably Heliodoros' first wife, and Ptollous his second; no. 10 is probably Heliodoros' daughter, with the surviving text carefully indicating the mother's identity. Age rounding is rampant; no one over 5 has an age not divisible by 5, a fact which makes the existence of two children aged 20 by different mothers less surprising.",Yes
71,131,Ox,2,"PS/1 53, col. ii","Oxyrhynchos, 11-12/132",Oxyrhynchos, 11-12/132,Not preserved,,,,,['131 Ox-2-d1'],,0,0,0,"Florence, Biblioteca Laurenziana; seen 25/5/1989.",Only lower left edge preserved with oath and date formulas.,No
72,131,Ox,3,"PS71 53, col. iii","Oxyrhynchos, 132/3",Oxyrhynchos, 132/3,Sabinos,,,,,['131-Ox-3-d1'],,1,0,0,"Florence, Biblioteca Laurenziana; seen 25/5/1989.",Only lower right corner preserved with oath and date formulas.,No
73,131,Ox,4,"PS/1 53, col. iv","Oxyrhynchos, 15/11/132",Oxyrhynchos, 15/11/132,Hermogenes,,,,,['131 Ox-4-d1'],,4,0,0,"Florence, Biblioteca Laurenziana; seen 25/5/1989.","Lower portion preserved with oath and date, but only the end of the listing. Three females were declared.",No
74,131,,Ox,"PSII 53, col. v","Oxyrhynchos, 132/3",Oxyrhynchos, 132/3,Germanos,,,,,['131 -Ox-5-d1'],,1,0,0,"Florence, Biblioteca Laurenziana; seen 25/5/1989.","Small fragment from lower left part of declaration, with part of date and subscription. No information on persons declared.",No
75,131,Ox,6,"PSII 53, col. vi","Oxyrhynchos, 132/3",Oxyrhynchos, 132/3,Plou,,,,,['131-Ox-6-d1'],,4,0,0,"Florence, Biblioteca Laurenziana; seen 25/5/1989.","Right side, broken at top; impossible to derive information from lines 89-98 (following the entry for no.4), which no doubt contained some per- sons.",Yes
76,131,Ox,7,"PSI I 53, col. vii (cf. BASP 27 [1990] 12)","Oxyrhynchos, 28/4/133",Oxyrhynchos, 28/4/133,Amois,,,,,['131-Ox-7-d1'],,5,0,0,"Florence, Biblioteca Laurenziana; seen 25/5/1989.","Broken at top, complete on all other sides but with some large gaps, particularly in lines 116-120, where only a few letters survive. Three men and two women were declared, according to subtotals.",Yes
77,131,Ox,8,"PSII 53, col. viii","Oxyrhynchos, 11-12/132",Oxyrhynchos, 11-12/132,NN,,,,,['131 Ox 8-d1'],,1,0,0,"Florence, Biblioteca Laurenziana; seen 25/5/1989.","Only lower part preserved, with declaration and date; some holes. The reading of the patronymic in line 142 as Kastor seems doubtful to me.",No
78,131,Ox,9,"PS/1 53, col. ix","Oxyrhynchos, 132/3",Oxyrhynchos, 132/3,Herieus,,,,,['131-Ox-9-d1'],,1,0,0,"Florence, Biblioteca Laurenziana; seen 25/5/1989.","Only the lower left corner preserved, with oath and date. The editor does not read the declarant's name; 'Epievq seems possible to me but not certain.",No
79,131,,Ox,"PS/1 53, col. x","Oxyrhynchos, 21/11/132",Oxyrhynchos, 21/11/132,Dionysios,Papontos,,,,"['131 -Ox-10-d1', '131 -Ox-10-d2']",,2,0,0,"Florence, Biblioteca Laurenziana; seen 25/5/1989.","Only lower left corner preserved, with oath and date.",No
80,131,Ox,ll,"PS! I 53, col. xi","Oxyrhynchos, 132/3",Oxyrhynchos, 132/3,Name lost; perhaps Tryphon (patronymic of nos. 2 and 3),,,,,['131-Ox-ll-d1'],,5,0,0,"Florence, Biblioteca Laurenziana; seen 25/5/1989.","Complete at right, only date and subscription lost at foot, but torn at right and top. Probably no declared persons are totally lost. A line between 175 and 176 completed the declarant's entry but is ignored by the editor because all is lost at left. Persons 4 and 5 are listed apparently in a separate section, and their relationship to the others is not clear. What lines 183-187 contained is still less clear, perhaps just property. The editor read the age of no.4 as .6; the first letter is iota.",No
81,131,Ox,12,"PSII 53, col. xii","Oxyrhynchos, 14/12/132",Oxyrhynchos, 14/12/132,Dioskourides,,,,,['131-Ox-12-d1'],,1,0,0,"Florence, Biblioteca Laurenziana; seen 25/5/1989.",Small fragment from lower left corner. All persons lost.,No
82,131,0x13,,"PSI Will 874, col. i","Oxyrhynchos, 132/3",Oxyrhynchos, 132/3,Onnophris,Heras,Tausoreus,,,"['131-0x13-d1', '131-0x13-d2', '131-0x13-d3']",,1,0,0,"Cairo, Egyptian Museum; photograph seen 26/5/1989.","Complete except at bottom and some damage at right. The formula is odd: no one is said to be registered in the property declared, but the declara- tion goes on all the same to list Anteis, who is living in another property he owns jointly with his sisters. It is unclear if Taamois was listed in the lost portion.",No
83,131,Ox,14,"PSI VIII 874, col. ii","Oxyrhynchos, 132/3",Oxyrhynchos, 132/3,Herodes,,,,,['131-Ox-14-d1'],,2,0,0,"Cairo, Egyptian Museum; photograph seen 26/5/1989.","Complete except at bottom and along the right side. Total of males given as 2, so no males lost.",No
84,131,Ox,15,P.Oxy. Ill 480 (cf. BL 3.131)0,"Oxyrhynchos, 25/11/132",Oxyrhynchos, 25/11/132,Chairemon,,,,,['131 Ox-15-d1'],,0,0,0,"Chicago, Oriental Institute, inv. 8337; seen 7/9/1990.","Broken at top; only description of property and conclusion preserved. This declaration concerns a house in which no one is registered, and no fam- ily members' names were given.",Yes
85,131,Ox,16,P.Oxy. XLVII 33360,"Oxyrhynchos, 11/1/133",Oxyrhynchos, 11/1/133,Stephanos,,,,,['131 Ox 16-d1'],,1,0,0,Ashmolean; seen 4/4/1991.,Complete except at top. No entries are lost.,No
86,131,Pr,l,"P.Lond. II 324.1-24 (p. 63) (cf. BL 1.245, 3.93) = W.Chr. 2080","Prosopite (exact place not given), original date not given",Prosopite (exact place not given), original date not given,Pathermouthis,,,,,['131-Pr-l-d1'],metallikos,16,0,0,"London, BL inv. 324; microfilm; original seen 2/4/1991.","Copy of a copied extract of a declaration, followed by another includ- ing only nos. 5,7, and 8 (145-Pr-l); complete but with scattered damage. The date of the cover letter is 24/3/161. Some ages are omitted in this copy; those in brackets are computed from ages given in 145-Pr-l. There are some prob- lems of identification and age (notably nos. 10 vs. 11). Wilcken resolves KotTTLTui ) in no.10 (not resolved by ed.) as Kamruvoq. This is certainly possible, but her father's patronymic is not given, and Tertia often occurs with a second name (or as second name). Metallikos here probably means ""quarry worker.""",No
87,145,Ar,l,P.Mil.Vogi III 193a = SB VI 9495.1a,"Tebtunis, 3/7/147",Tebtunis, 3/7/147,Kroniaina,,,,,['145-Ar-l-d1'],,2,0,0,"Milan, Univ. degli Studi, Istituto di Papirologia, inv. 472; seen","Complete but scattered damage. We take Kpopimvyiq (line 11) to be a faulty genitive for nominative, not equivalent to Kpovicuviq (ed.).",No
88,145,Ar,2,P.Mil.Vogl. Ill 193b = SB VI 9495.1b,"Tebtunis, 18/7/147",Tebtunis, 18/7/147,Tephorsais,,,,,['145 Ar 2-d1'],,2,0,0,"Milan, Univ. degli Studi, Istituto di Papirologia, inv. 472; seen","Complete, with serious damage to line 4 and scattered holes else- where.",No
89,145,Ar,3,P.Mil.Vogl. Ill 194a = SB VI 9495.2a (cf. BASP21 [1990] 7-8),"Tebtunis, 146/7",Tebtunis, 146/7,Herais,,,,,['145 Ar 3-d1'],,6,0,1,"Milan, Univ. degli Studi, Istituto di Papirologia, inv. 700; seen",Complete. Name of mother of no.5 is very doubtful.,No
90,145,Ar,4,"P.Mil.Vogl. Ill 194b = SB VI 9495.2b (cf. H.C. Youtie, ""P.Mil.Vogl.","Tebtunis, 146/7",Tebtunis, 146/7,Herakleia,,,,,['145-Ar-4-d1'],,1,0,0,"Milan, Univ. degli Studi, Istituto di Papirologia, inv. 700; seen","Complete at top and right, some loss at left and slight damage at foot. Herakleia reports that Herakles (and another son? One would suppose that TEKVOL referred to sons in light of the following oa 5e dvyarepmq)  are registered (separately?), probably with her divorced husband (who is men- tioned), while daughters Herakleia and Tapetesouchos are each registered with their own husbands. Youtie rejects ed.'s restorations making kyrios be the divorced husband, who is Herakles s. NN alias Areotes. Herakleia's age is presumably 40+ since she has 4 living children, 2 married.",No
91,145,Ar,5,BGU1131 (cf. BASP 29 [1992] 106-07),"Arsinoe, 146/7",Arsinoe, 146/7,Eudarion alias Eudaimon,,,,,['145 Ar 5-d1'],,1,4,1,"Berlin, P.1333; seen 12/4/1991.","Substantial losses at right; broken at bottom. Part of the list of persons lost. The listing second of the slave suggests that there were no more family males declared, but it is impossible to say with certainty if the surviving names are those of family females or of renting males or females; the latter seems more likely given the order, and the explicit mention of enoikoi in the initial formula.",Yes
92,145,Ar,6,"BGU I 182.1-15 (cf. BL 1.24, 7.10; BASP 29 [1992] 107-08)","Arsinoe, 19/7/147",Arsinoe, 19/7/147,NN,,,,,['145-Ar 6-d1'],,5,0,0,"Berlin, P.7145; seen 12/4/1991.","Broken at left and right; some damage in the middle. Followed by 131-Ar-2. The description section is very fragmentary and probably included at least two more people. These are renters of the declarant, whose principal residence was declared in another statement.",Yes
93,145,Ar,7,BGU VII 15810,"Arsinoe, 22/7/147",Arsinoe, 22/7/147,Didymos,,,,,['145-Ar-7-d1'],,0,0,0,"Berlin,, P.11499; seen 12/4/1991.","Broken at top, with loss of address. Didymos declares a half share of a third of a house belonging to his mistresses, who are absent, and in which no one is registered.",Yes
94,145,Ar,8,"P. Corn. 16.59-80 (cf. BL 2.2.49, 3.46, 4.24; BASP 28 [1991] 19-27)","Arsinoe, 147",Arsinoe, 147,Isidora,,,,,['145-Ar-8-d1'],,2,0,0,"Michigan, P.Corn. inv. II, 16; seen 9/11/1990.","Declarant registers renters of house she owns but does not live in. They are listed in column iv, with only the start of lines preserved. Those listed here are only a part of those originally listed. The rest is too frag- mentary to allow reconstruction.",No
95,145,Ar,9,P.Meyer 9 (cf. BL 4.50),"Arsinoe, 8/7/147",Arsinoe, 8/7/147,Name lost,,,,,['145-Ar-9-d1'],,7,0,8,"Berlin, formerly Neutestamentliches Seminar. The papyri of this col-","Broken at left with substantial loss; complete elsewhere. This is a declaration of renters of a house belonging to the declarant. The free person NN [no.7] may be the Aphrodisios who is the owner of some or all of the slaves. Meyer restored the age of the first family member as [7]3, arguing that vvepeTrjs had to mean ""over the age for liturgies,"" which he claimed was 70, rather than ""over the age of liability for taxes"" (on the grounds that as a katoikos he was not liable anyway). This is not correct. In 131-Ar-12 (see Adddenda) there is a virepeTrjq aged 61, which makes it clear that the reference is to the age of liability for taxes. Since a husband-wife age dif- ference of 32 years here would be the highest known, though not by much, we take a restoration of [6]3 to be somewhat more likely than [7]3, but nei- ther is excluded.",Yes
96,145,Ar,10,P.Ryl. II llla#,"Arsinoe, 146/7",Arsinoe, 146/7,Didis,,,,,['145-Ar-10-d1'],,2,0,0,"Manchester, John Rylands Library; photograph.",Complete. A copy written around 161 of a declaration of renters occupying a house belonging to the declarant.,No
97,145,Ar,11,P. Tebt. II 321,"Arsinoe, 147",Arsinoe, 147,Heras,,,,,['145 Ar 11-d1'],,0,0,0,"Berkeley, P.Tebt. 321; seen 27/9/1990.","Broken at bottom, taking list of persons declared. This is a copy of a declaration for a 2/3 share of a house inhabited by renters of the declarant, not by herself.",Yes
98,145,Ar,12,BGUI 95 (cf. BL 1.19)#,"Karanis (Arsinoite), 24/7/147",Karanis (Arsinoite), 24/7/147,Petheus,,,,,['145-Ar-12-d1'],,3,0,1,"Berlin, P.6868; seen 16/4/1991.",Complete except for minor losses. The three female children of Diodora [no.3] are said to be declared by their father (NN s. Petheus) in another declaration. Presumably Diodora is divorced from him.,No
99,145,AM3,,"SB VI 9554,1","Karanis (Arsinoite), 146/7",Karanis (Arsinoite), 146/7,NN,,,,,['145-AM3-d1'],,0,0,0,"Michigan, inv. 2940; now in Cairo; seen 1/4/1993.","Broken at the left and bottom, with loss of any persons declared.",Yes
100,145,Ar,14,"SB VI 9554,2b","Karanis (Arsinoite), 19/7/147",Karanis (Arsinoite), 19/7/147,Didyme,,,,,['145 Ar 14-d1'],,0,0,0,"Michigan, inv. 4731a, recto col. i; seen 9/11/1990.",Broken at top with actual declaration formula lost. Declares a house in which no one is registered.,Yes
101,145,Ar,15,"SB VI 9554,2c","Karanis (Arsinoite), 7 or 10/7/147",Karanis (Arsinoite), 7 or 10/7/147,My... alias Sarapion,Ptolemaios,Sarapammon alias Andronikos,,,"['145-Ar-15-d1', '145-Ar-15-d2', '145-Ar-15-d3']",,0,0,0,"Michigan, inv. 4731a, recto col. ii; seen 9/11/1990.",Some loss at right. Declarants are registered in the metropolis; here they declare a vacant lot in Karanis.,No
102,145,Ar,16,"SB VI 9554,4","Karanis (Arsinoite), 24/7/147",Karanis (Arsinoite), 24/7/147,Longinus,,,,,['145 Ar 16-d1'],,0,0,0,"Michigan, inv. 5961; seen 9/11/1990.","Broken at top. Declaration of quarter-share of house in Karanis by owner without any mention of persons (nor declaration that there were none). Line 8, the papyrus reads Kunrjc; Kapipi8(i)  (sic).",Yes
103,145,AM7,,"SB VI 9554,3","Mendes (Arsinoite), 23/7/147",Mendes (Arsinoite), 23/7/147,Sisois,,,,,['145-AM7-d1'],,5,0,0,"Michigan, inv. 4715a; seen 9/11/1990.","Complete. One wonders if the parents actually called the twins Kastor and Polydeukes! Line 3, for Nefieoeuq (ed.), read Ne/ieaorog.",No
104,145,AM8,,P.Berl.Leihg. Ill 52A (ined.),"Philagris (Arsinoite), 6-7/147",Philagris (Arsinoite), 6-7/147,Sarapas,,,,,['145-AM8-d1'],,3,0,0,"Berlin, P. 11535; seen 17/4/1991.","Complete, minor abrasion. There is no indication of what has hap- pened to the mother of no.3. No.2 is described as released from laographia, apparently on grounds of disability (he is described as",No
105,145,AM9,,P.Berl.Leihg. Ill 52B (ined.),"Philagris (Arsinoite), 26/6/147",Philagris (Arsinoite), 26/6/147,Harphesis apator,,,,,['145-AM9-d1'],farmer,7,0,0,"Berlin, P.I 1535; seen 17/4/1991.",Complete but with considerable surface damage. The relationship of no.7 to the rest of the family is unclear.,No
106,145,Ar,20,"PAmh. II 74 (cf. Pap.Lugd.Bat. V, pp. 118 n.8, 161 [BL 3.5]; BL 8.4;","Soknopaiou Nesos (Arsinoite), 24/7/147",Soknopaiou Nesos (Arsinoite), 24/7/147,Panephremmis,,,,,['145-Ar-20-d1'],priest,5,1,0,"New York, Pierpont Morgan Library; seen 8/1/1991.","Complete except for minor holes. A copy. Of what Panephremmis is Stotoetis [no.5] the mother? The declarant's mother's father was Horos, not Panephremmis; no.2's mother was Thases. The latter is the more serious dis- crepancy. The editors read her age as 51 and no.l's as 40, rightly queried by Hombert and Preaux; that obstacle to her being the mother of no.l is now removed. The age-difference, moreover, taken with the difference in names, does seem to exclude her being the mother of 2 and 3. The most probable solution is that her patronymic is given incorrectly in either the initial declaration or her entry.",No
107,145,Ar,21,P. Wise. I 18 (cf. BL 6.71)0,"Theadelphia (Arsinoite), 146/7",Theadelphia (Arsinoite), 146/7,Apollo(nios?),Heron the elder,Heron the younger,,,"['145-Ar-21-d1', '145-Ar-21-d2', '145-Ar-21-d3']",,0,0,0,"Madison, P.Wisc. inv. 46; photograph.","Complete but with scattered damage. Declaration of property belong- ing to the three brothers, in which no one lives.",No
108,145,Ar,22,P.Fay. 319.13-19 (Aegyptus 70 [1990] 27-31; cf. BASP 30 [1993] 38-,"Arsinoite, 147? (documentpas/ 161)",Arsinoite, 147? (documentpas/ 161),Thermoutharion,,,,,['145-Ar-22-d1'],,4,0,0,"Cairo, JE 10850; plate in Aegyptus (Tav. 1); seen 3/4/93","Broken at right, with large loss, and torn at the bottom. This is an excerpt from the original declaration, quoted in an epikrisis document of unknown date. See 159-Ar-26 for the preceding declaration in the same document. No. 4 may be another child of the declarant or perhaps some other descendant, such as a child of no.2. Other persons were probably listed in the lost portions of the text.",Yes
109,145,Ar,23,CPR VI p. 3 = P.Vindob.Tand. 20 + P.Vindob.Sijp. 250,"Arsinoe, 7/7/147",Arsinoe, 7/7/147,Polydeukes,,,,,['145-Ar-23-d1'],,5,0,0,P.Vindob. G 25.853 + G 73 + G 39.955; PI. of G 39.955,Complete except for minor holes in the middle.,No
110,145,Ar,24,P.Wisc. I 36 (cf. BL 7.100)0,"Theadelphia (Arsinoite), 9/7/147",Theadelphia (Arsinoite), 9/7/147,Sambathion,,,,,['145 Ar 24-d1'],,2,0,0,"Wisconsin, inv. 25; plate; photograph.","Dioskoros is Ptolemaios' son by Anoubiaina, who is described as his wife living with him; but she herself is not declared. Perhaps her legal residence is in the city of which she had citizen status. Sambathion presumably lives in other property in Theadelphia, which she lists as her idia, but she says that she has also registered in Apias, where we know that Ptolemaios had business interests. Dioskoros alias Heron ceased to live with his father in 155/6, cf. H.C. Youtie, ZPE 23 (1976) 131-38 = Scriptiunculae Posteriores I 375-82, but we do not know what age he was then; either 13 or 23 is possible, and thus either 3 or 13 here, where only the gamma survives.",No
111,145,Ar,25,BGUl 122 (cf. BASP29 [1992] 105),"Arsinoe, 147",Arsinoe, 147,Thermoutharion,,,,,['145-Ar 25-d1'],,0,0,0,"Berlin, P.1334; seen 12/4/1991.","Broken at right and below, with loss of entire list of persons declared.",Yes
112,145,He,l,"P.Bad. IV 75b = SelPap II 312 (cf. BL 2.2.183, 3.256, 6.8, 8.15; BASP","Ankyronpolis (Herakleopolite), 10/3/147",Ankyronpolis (Herakleopolite), 10/3/147,Petesouchos,,,,,['145-He-l-d1'],,5,0,0,"Heidelberg, P.Heid.inv. G 604; plate in Seider, Paldographie I 35;",Complete. Cf. 131-He-2 (P.Bad. IV 75a) for this household 14 years earlier.,No
113,145,He,2,"P.Corn. 17 (cf. BL 2.2.49, 3.46, 8.90; BASP 28 [1991] 27-29)","Ankyronon (Herakleopolite), 10/3/147",Ankyronon (Herakleopolite), 10/3/147,Serempis,,,,,['145-He 2-d1'],,11,0,0,"Michigan, P.Corn. inv. II, 11; seen 9/11/1990.",Two lines missing at the start; lower part damaged at left.,No
114,145,Hm,l,SB VIII 9871 (Cd'E 39 [1964] 118-19); cf. P.Petaus 14.10n.,"Hermopolis, 146",Hermopolis, 146,Name lost,,,,,['145-Hm-l-d1'],,0,0,0,"P.Stras.inv. W.G. 366, seen 14/3/1989.","Broken at top, bottom (subscription lost), left, and right; declaration of property in village of Poei; all names of persons lost.",Yes
115,145,Ly,l,P.Brux. 20 = SB VI 9360,"Lykopolis, 28/8/146",Lykopolis, 28/8/146,Senesneus,,,,,['145-Ly-l-d1'],,2,1,0,P.Brux.inv. E 7641; PI. V.,Complete except for minor damage.,No
116,145,Me,l,BGU III 777 (cf. BL 1.66),"Memphis, 145/6",Memphis, 145/6,Areios,,,,,['145-Me-l-d1'],,1,0,0,"Berlin, P.7486; seen 16/4/1991.","Broken at top (with declarant's full identity) and bottom (with any other persons included; but there were probably none, to judge form line 1). Declarant is a renter in house of Isidoros s. Anoubion alias Pankrates. Cf. ZPE 75 (1988) 255-56: Is Areios the brother of Melas in 173-Me-l (9 years younger than Melas)?",Yes
117,145,Oa,l,PSIX 1111,"Trimeithis (Great Oasis), 145/6",Trimeithis (Great Oasis), 145/6,Petosiris,,,,,['145-Oa-l-d1'],,4,0,0,"Florence, Biblioteca Laurenziana; seen 25/5/1989.","Broken at bottom. No.4 probably not a child of declarant because patronymic given again; any women are lost. For provenance, cf. Calderini- Daris, Dizionario s.v. P. J. Sijpesteijn (per litt.) reads the age of no. 3 as KKJ, which would give a normal order.",Yes
118,145,Ox,l,"P.Lond. inv. 2187 (Cd'E, forthcoming)","Oxyrhynchos, 146/7",Oxyrhynchos, 146/7,NN,,,,,['145-Ox-l-d1'],,3,0,0,"London, inv. 2187; seen 3/4/1991.","Broken at top, with loss only of the first person listed, evidently the declarant, and possibly other males. Dionysia is said to be a twin, but the other child is not listed in the surviving part. It is likely that this was a male and included in the missing portion.",Yes
119,145,Ox,2,"P.Oxy. 1171 (P.Oxy. II, p. 208)","Oxyrhynchos, ca 146",Oxyrhynchos, ca 146,Hierax,,,,,['145-Ox-2-d1'],,3,0,0,"Cambridge, Add.Ms. 4045; photograph.","Broken at right with small losses; broken off at bottom, with loss of unknown number of family members.",Yes
120,145,Ox,3,"P.Lond. inv. 2194 (Cd'E, forthcoming)","Talao (Oxyrhynchite), 20/2/147",Talao (Oxyrhynchite), 20/2/147,Dikaiogenes,,,,,['145-Ox-3-d1'],,1,1,0,"London, inv. 2194; seen 3/4/1991.","Virtually complete; no persons are lost. The property is said to belong to the declarant's parents, who are however not listed.",No
121,145,Pr,l,P.Lond. II 324.25-29 (p. 63),"Prosopite, original date omitted",Prosopite, original date omitted,Not stated,,,,,['145-Pr-l-d1'],,3,0,0,"London, BL inv. 324; microfilm; original seen 2/4/1991.","Copy of a copied extract of a declaration, preceded by another (131- Pr-1); complete but with scattered damage. The date of the cover letter is 24/3/161. As the editor's note points out, Thamistis is said in the two extracts to be the full sister of Anikos, thus daughter of Chentmouphis (Thenthnoupis in 131-Pr-1), but in the cover letter Anikos says she is his sister on the mother's side, and airdiTOjp. In Chentmouphis' age, it seems most likely that vf$ is a copyist's misreading of vO, since beta and theta can look much alike.",No
122,159,Ar,1,"BGUI 55 ii.1-10 (cf. BL 1.12, 3.8)0","Arsinoe, 24/6/161",Arsinoe, 24/6/161,Mysthes,,,,,['159 Ar 1-d1'],,5,0,0,"Berlin, P.6914, col. ii; seen 16/4/1991.","Column i very fragmentary; it is probably not part of the declaration in col. ii. Part of the information about nos. 1-2 derives from ii.11-22 (173-Ar- 3). These are extracts from declarations, not originals. The copyist seems not to have understood his original in places.",No
123,159,Ar,2,BGUI 57 i (cf. BL 1.13)0,"Arsinoe, 160/1",Arsinoe, 160/1,Thaisarion,Herois,,,,"['159 Ar-2-d1', '159 Ar-2-d2']",,0,0,0,"Berlin, P.6938 recto i; seen 12/4/1991.","Some damage at left and right, part of date lost at bottom. Declaration by metropolitan women of village property in Nilopolis of which they own part-shares and in which no one is registered. Heading is missing: This may be a copy or a declaration on which the recipient's name was never written.",No
124,159,Ar,3,BGU I 57 ii (cf. BL 1.13),"Arsinoe, 160/1 (?)",Arsinoe, 160/1 (?),Sokrates,,,,,['159 Ar 3-d1'],,0,0,0,"Berlin, P.6938 recto ii; seen 12/4/1991.","Only a small part of left side of declaration preserved. Sokrates is declaring property in Nilopolis belonging to a woman of whom he is phrontistes (line 6), with no mention of persons.",No
125,159,Ar,4,P.BerLLeihg. I 17#,"Arsinoe, 11/5/161",Arsinoe, 11/5/161,Herodes,,,,,['159-Ar-4-d1'],,12,0,2,Berlin inv. 11540 verso; seen 15/4/1991.,"Copy of a declaration. Complete. Herodes is declaring the inhabitants of a house belonging to two boys whose guardian he is, who do not live there. The presence of two homonymous sisters, wives of two brothers, with each couple having a daughter Helene, is noteworthy.",No
126,159,Ar,5,P.Ryl. II 111 (cf. BL 3.160; BASP2Z [1991] 129-32),"Arsinoe, 161",Arsinoe, 161,NN,,,,,['159 Ar 5-d1'],,22,0,5,"Manchester, John Rylands Library; photograph.","Left side lost, with a loss probably of ca 60 letters per line; broken at top. Much is uncertain; some of the families listed could be renters, and it is not entirely clear that all those classified here as slaves are in fact such. See BASP 28 (1991) 198-32 for a detailed argument about the reconstruction of the declaration.",Yes
127,159,Ar,6,"SB X 10219 (Aegyptus 46 [1966] 21 no.10) (cf. BL 7.216, BASP 30","Arsinoe, 161",Arsinoe, 161,Gaius,,,,,['159-Ar-6-d1'],discharged veteran,2,1,2,P.bibl.Univ.Giss.inv. 301; photograph.,"Broken at left and right, complete at top and bottom. It appears that the non-kin Ptolemaios was first registered in the previous census as Ptolemaios son of M. Anthestius NN, then entered military service as C. Valerius Capito, then was prematurely mustered out and is now known by a purely peregrine name.",Yes
128,159,Ar,7,BGUI 54 (cf. BL 1.12)0,"Karanis (Arsinoite), 7/7/161",Karanis (Arsinoite), 7/7/161,Ammonios,,,,,['159-Ar-7-d1'],,3,0,0,"Berlin, P.6881; seen 12/4/1991.",Complete. Thaisarion owns the house.,No
129,159,Ar,8,BGUl 58 (cf. BL 1.13; BASP 29 [1992] 101-03),"Karanis (Arsinoite), 161",Karanis (Arsinoite), 161,Pasoxis,,,,,['159-Ar-8-d1'],,6,0,0,"Berlin, P.6939; seen 15/4/1991.","Broken at right with substantial loss. There were at least two or three more persons listed, but only bits of their identification survive, insufficient for restoration or description.",Yes
130,159,Ar,9,"BGU1154 (cf. BL 1.22, 3.8)0","Karanis (Arsinoite), 17/7/161",Karanis (Arsinoite), 17/7/161,Herais,,,,,['159-Ar-9-d1'],,4,0,0,"Berlin, P.6927; seen 12/4/1991.",Damaged at right after line 16. There is no indication why Herais rather than one of her parents is the owner of the half-house in which they live. The declaration also reports two unoccupied houses owned by Tanes- neus.,No
131,159,Ar,10,BGU II 524 (cf. BL 1.49; BASP 29 [1992] 111-12),"Karanis (Arsinoite), 160/1",Karanis (Arsinoite), 160/1,Sisois,,,,,['159 Ar-10-d1'],,7,0,0,"Berlin, P.7402; seen 16/4/1991.",Complete but with minor damage throughout.,No
